X Y Z
0.221329 0.068914 1.912280
0.263949 0.076608 1.927976
0.219176 0.066953 1.910052
0.335365 0.010724 1.954043
0.245021 0.195403 1.944733
0.268279 0.194243 1.954888
0.253668 0.193218 1.946938
0.285004 0.192872 1.963218
0.207463 0.178845 1.930367
0.291442 0.176966 1.962865
0.266499 -0.050846 1.900691
0.264352 -0.050744 1.898812
0.269007 0.140940 1.941484
0.271792 0.136260 1.943023
0.353442 0.133640 1.997779
0.228869 0.121558 1.922502
0.256350 0.119789 1.933182
0.310690 -0.068803 1.917403
0.154140 0.110567 1.910322
0.298343 0.110718 1.952797
0.266420 0.077517 1.927410
0.254321 0.076111 1.922679
0.250832 0.075816 1.920303
0.220579 0.074186 1.911269
0.254951 0.074110 1.922630
0.221872 0.072834 1.911512
0.317516 0.034880 1.947607
0.248152 0.072575 1.919215
0.266967 0.070217 1.926754
0.218539 0.068289 1.910004
0.264956 0.068281 1.926026
0.242149 0.066772 1.916911
0.240178 0.066820 1.916359
0.223104 0.066543 1.911245
0.219805 0.064957 1.910027
0.236201 0.064591 1.914934
0.241445 0.063486 1.916355
0.253127 0.036839 1.913643
0.257515 0.036754 1.918044
0.271712 0.047302 1.924259
0.282433 0.178770 1.958893
0.176321 0.107872 1.911080
0.276061 0.032431 1.923520
0.282867 0.029902 1.926556
0.224834 -0.002746 1.899149
0.273835 0.009316 1.916851
0.066447 0.279413 2.137637
0.267379 -0.066045 1.898013
0.338359 -0.063713 1.937881
0.150876 0.108572 1.910599
0.169206 0.109802 1.912090
0.247045 -0.050231 1.892257
0.017412 0.127643 2.193796
0.033749 0.130067 2.237993
0.140912 0.112730 1.940399
0.260461 0.073396 1.924816
0.267032 0.072891 1.928142
0.304699 0.030955 1.938998
0.218383 0.071924 1.910849
0.273981 0.117141 1.939421
0.323854 0.034028 1.952417
0.328139 0.033928 1.954867
0.256255 0.119868 1.933427
0.275868 0.120376 1.941869
0.265017 0.120456 1.935770
0.228280 0.121968 1.923957
0.259537 0.064683 1.923625
0.252938 0.036721 1.914133
0.155562 0.251799 1.940667
0.232641 0.077969 1.915877
0.227575 0.128383 1.924458
0.275439 -0.063900 1.901667
0.261949 0.066623 1.924525
0.250209 0.076413 1.922343
0.235579 0.192874 1.940051
0.282498 0.194620 1.961142
0.274803 0.139730 1.945236
0.285696 0.192526 1.961732
0.215021 0.188963 1.935188
0.245217 0.074110 1.919092
0.336545 -0.048506 1.940715
0.312277 -0.053985 1.924058
0.250723 0.072007 1.920437
0.264452 -0.050268 1.898631
0.275105 -0.050334 1.904579
0.371375 -0.051157 1.970236
0.252964 0.063225 1.920090
0.251442 0.067609 1.920097
0.233061 0.066022 1.913070
0.291138 0.176855 1.961684
0.234337 0.173863 1.936170
0.305732 0.174815 1.970454
0.302284 0.175201 1.968370
0.168183 0.095231 1.909092
0.260639 0.001535 1.909336
0.066183 0.279423 2.138256
0.276343 0.035776 1.923712
0.147206 0.123679 1.912162
0.261275 0.074577 1.925193
0.252769 0.078106 1.923245
0.237031 0.176190 1.936829
0.320210 0.109546 1.966201
0.268105 0.138696 1.941452
0.233524 0.111052 1.923142
0.043239 0.126200 2.161853
0.235755 0.186671 1.941505
0.214998 0.128273 1.921264
0.275504 0.120453 1.941476
0.337662 -0.063316 1.937406
0.038447 0.052669 1.922265
0.266288 0.046850 1.921672
0.273303 -0.064134 1.900453
0.316905 0.034620 1.945916
0.316998 0.139703 1.969514
0.267365 -0.065764 1.896846
0.322933 -0.065771 1.926593
0.228700 0.141542 1.928801
0.312377 -0.053705 1.923736
0.231555 0.141478 1.929621
0.352042 -0.053704 1.950631
0.176835 0.122011 1.914186
0.277893 0.010570 1.919645
0.273528 0.116655 1.940572
0.276564 0.035689 1.923123
0.264902 0.062592 1.924898
0.224814 0.173184 1.934872
0.254370 -0.000120 1.907769
0.301868 0.178002 1.968702
0.236395 0.181195 1.939187
0.214913 0.121556 1.920496
0.259231 0.065097 1.923623
0.214726 0.188482 1.935279
0.251238 0.195120 1.946876
0.236433 0.075733 1.917019
0.155247 0.251823 1.940565
0.269875 0.007498 1.914656
0.094255 0.139568 1.921662
0.254342 -0.002004 1.907559
0.237096 0.180741 1.938861
0.237614 0.074857 1.916240
0.237052 0.176705 1.938512
0.259424 0.065283 1.923693
0.237504 0.066319 1.915359
0.261843 0.074372 1.925319
0.240875 0.064501 1.916041
0.250794 -0.064175 1.891769
0.248749 -0.049614 1.892649
0.250256 0.194058 1.946437
0.267423 0.065676 1.925895
0.227718 0.121137 1.925142
0.249146 0.122887 1.929228
0.301905 0.172869 1.971396
0.292599 0.139972 1.954381
0.226671 0.128076 1.925601
0.225115 0.029068 1.903155
0.144242 0.113097 1.912312
0.266805 0.046839 1.921441
0.233107 0.077251 1.915201
0.261413 0.077945 1.930274
0.265798 -0.059652 1.898547
0.342080 -0.051429 1.943640
0.292921 0.110932 1.949098
0.048632 0.125632 2.127636
0.277512 -0.053860 1.904496
0.272095 0.134361 1.943524
0.254679 -0.050392 1.896548
0.326632 0.005817 1.950869
0.161499 0.107149 1.909605
0.174060 0.126278 1.915754
0.272756 0.123748 1.940348
0.173723 0.111510 1.912036
0.027150 0.126452 2.159696
0.151892 0.253521 1.940241
0.265634 0.076630 1.928882
-0.023223 -0.006534 1.935342
0.096681 0.143847 1.922601
0.320621 -0.058028 1.928131
0.157121 0.111408 1.883308
0.059850 -0.198567 1.870290
0.278379 0.035763 1.925548
0.222758 0.066079 1.910919
0.175664 0.106108 1.909391
0.037381 0.052993 1.923969
0.148557 0.253164 1.940111
0.332310 0.005118 1.951486
0.095443 0.128322 1.919803
0.254612 0.190223 1.945714
0.247851 -0.047055 1.894054
0.256985 0.120409 1.933463
0.259511 0.064465 1.922711
0.238636 0.062839 1.913902
0.241396 0.065509 1.914977
0.263235 0.065683 1.921027
0.304787 0.138099 1.959506
0.247593 0.136522 1.932602
0.001082 -0.194670 1.893437
0.336463 -0.049141 1.940709
0.151504 0.252671 1.940935
0.265351 -0.050861 1.898464
0.227661 0.003921 1.898985
0.339877 0.004176 1.960401
0.326837 0.005251 1.946788
0.254807 0.007993 1.907247
0.257909 0.007897 1.910848
0.245973 0.073686 1.919954
0.231813 0.111862 1.922617
0.266073 0.045836 1.922494
0.313569 -0.060644 1.922727
0.251474 0.076297 1.921749
0.215528 0.120439 1.918477
0.233689 0.173936 1.938182
0.251628 0.174267 1.943288
0.273567 0.119223 1.938226
0.334906 0.120784 1.978685
0.254442 0.035021 1.914329
0.250311 -0.063894 1.893013
0.129638 0.113461 1.912846
0.288047 0.177810 1.964472
0.174208 0.112683 1.912572
0.302887 0.035577 1.938744
0.282311 0.028504 1.925340
0.265548 0.076024 1.928243
0.159267 0.096460 1.906409
0.011852 0.158900 1.956438
0.356280 -0.051459 1.954512
0.171437 0.094483 1.896416
0.060555 -0.199172 1.869619
0.236478 -0.064364 1.886209
0.002118 -0.194849 1.891040
0.244764 -0.048494 1.890278
0.231601 0.111734 1.923039
0.242265 0.138213 1.932382
0.251034 -0.062322 1.890643
0.248595 0.118990 1.932143
0.132825 0.112981 1.913420
0.254247 0.034636 1.914843
0.217962 0.033822 1.900695
0.251937 0.174294 1.945677
0.238290 0.178494 1.938846
0.314999 0.033276 1.949521
0.226008 0.027942 1.902610
0.304288 0.027269 1.942600
0.236772 0.189368 1.939467
0.308675 0.013643 1.940019
0.215313 0.119511 1.918899
0.299846 0.012067 1.934551
0.226796 0.120125 1.922558
0.274091 -0.067904 1.899480
0.256660 0.007654 1.909346
0.326248 0.006120 1.949645
0.254886 -0.002072 1.907822
0.258119 -0.003783 1.908511
0.245584 0.139801 1.933473
0.250316 0.123932 1.933154
0.271408 -0.063130 1.902592
0.266084 -0.061246 1.898116
0.248017 -0.046970 1.891358
0.276488 -0.050337 1.905237
0.265111 -0.050038 1.902348
0.271585 -0.051826 1.903836
0.248844 -0.052056 1.897665
0.243545 -0.051798 1.892885
0.227404 -0.051354 1.888200
0.250544 0.193579 1.947292
0.256493 0.177286 1.943798
0.039178 -0.199384 1.877367
0.238291 0.062836 1.913243
0.245411 0.072602 1.919679
0.228664 -0.046443 1.885784
0.265116 0.119459 1.936690
0.018264 0.158659 1.953557
0.234108 0.026106 1.904810
0.033805 0.054815 1.923180
0.044908 0.055264 1.924320
0.053177 0.166939 1.937085
0.259358 -0.002169 1.908385
0.271696 -0.052919 1.902416
0.267045 -0.064260 1.896064
0.251509 0.118541 1.935001
0.225426 0.128814 1.924360
0.249729 0.133507 1.936004
0.280706 0.033507 1.925553
0.254569 0.034143 1.914898
0.227073 0.027927 1.906287
0.315454 0.007482 1.940485
0.265910 -0.048889 1.901345
